,,SSD,SSD,pots,Field  2010-11,Field 2011-12,,,Field 2012-13,,Field 2013-14,,
Gen 0=8-way F1,8-way F1 plant,F1 to F2,F2 to F3,F3 to F4,F4 to F5 nursery,F5 to F6 nursery,YT Reps,728 SNP 90k,F6 to F7 nursery,YT reps,F7 to F8 nursery,YT reps,
MEL 001-1,8MEL-1001-01,MEL 001-1,MEL 001-1a,MEL 001-1a,MEL 001-1a,MEL 001-1a,2,,MEL 001-1a,2,MEL 001-1a,2,
,8MEL-1001-01,,MEL 001-1b,MEL 001-1b,MEL 001-1b,MEL 001-1b,2,1-A-2,MEL 001-1b,2,MEL 001-1b,2,
,8MEL-1001-01,,MEL 001-1c,MEL 001-1c,MEL 001-1c,MEL 001-1c,2,,MEL 001-1c,0,MEL 001-1c,0,
MEL 001-2,8MEL-1001-02,MEL 001-2,MEL 001-2a,MEL 001-2a,MEL 001-2a,MEL 001-2a,1,,MEL 001-2a,2,MEL 001-2a,2,
,8MEL-1001-02,,MEL 001-2b,MEL 001-2b,MEL 001-2b,MEL 001-2b,2,1-A-3,MEL 001-2b,2,MEL 001-2b,2,
,8MEL-1001-02,,MEL 001-2c,MEL 001-2c,MEL 001-2c,MEL 001-2c,2,,MEL 001-2c,2,MEL 001-2c,2,
MEL 002-1,8MEL-1002-01,MEL 002-1,MEL 002-1,MEL 002-1,MEL 002-1,MEL 002-1,2,1-A-4,MEL 002-1,2,MEL 002-1,2,
MEL 002-2,8MEL-1002-02,MEL 002-2,MEL 002-2,,,,,,,,,,
MEL 002-3,8MEL-1002-03,MEL 002-3,MEL 002-3,MEL 002-3,MEL 002-3,MEL 002-3,2,1-A-5,MEL 002-3,2,MEL 002-3,2,
MEL 002-4,8MEL-1002-04,MEL 002-4,MEL 002-4,MEL 002-4,MEL 002-4,MEL 002-4,0,,MEL 002-4,0,MEL 002-4,0,
