idtag	 timestamp	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128
W8-062111	 2015-01-17	1514	57	0	0	0	2	0	0	0	0	0	0	0	0	0	0	364	0	0	0	3	765	0	0	0	14	779	7	0	0	0	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	64	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	316	0	0	0	44	0	0	0	1205784	2202	2450	429	353	107	1	0	0
W8-169111	 2015-01-17	602	13	0	0	1	1	0	0	0	0	0	0	0	0	0	0	173	0	0	0	12	304	0	0	0	8	239	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	9	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	137	1	0	0	33	0	0	0	1211702	1017	1132	160	87	18	0	0	0
W8-213111	 2015-01-17	436	26	0	0	1	4	0	0	0	0	0	0	0	0	0	0	82	0	0	0	3	207	0	0	0	25	342	8	0	0	0	17	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22	0	0	0	65	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	40	1	0	0	14	0	0	0	1212584	531	780	153	134	65	0	0	0
W8-005111	 2015-01-17	2054	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580	2	0	0	0	616	0	0	0	7	687	17	0	0	0	26	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	69	440	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	367	0	0	0	28	0	0	0	1204668	2754	2651	299	261	118	4	0	0
W8-168111	 2015-01-17	1160	24	0	0	2	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	5	463	0	0	0	20	535	13	0	0	0	36	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	0	0	0	94	317	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	391	1	0	0	27	0	0	0	1207973	2097	1652	275	197	84	2	0	0
W8-219111	 2015-01-17	1476	47	0	0	2	2	0	0	0	0	0	0	0	0	0	0	431	0	0	0	3	447	0	0	0	10	414	12	0	0	0	14	12	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	45	0	0	0	57	251	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	304	0	0	0	19	0	0	0	1207741	2028	1875	302	136	81	5	0	0
W8-067111	 2015-01-17	2742	120	0	0	37	36	0	0	0	3	0	0	0	0	0	0	743	3	0	0	9	1154	0	0	1	179	1361	26	0	0	3	114	24	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	117	0	0	0	179	675	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	408	0	0	0	28	0	0	0	1200034	2558	3903	541	533	181	10	0	0
W8-180111	 2015-01-17	1452	79	0	0	53	80	0	0	0	4	0	0	0	0	0	0	247	0	0	0	2	579	0	0	0	289	1425	19	0	0	15	251	18	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	56	0	0	0	268	833	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	1	0	0	5	0	0	0	1205353	1277	2126	414	431	242	11	0	0
W8-150111	 2015-01-17	1761	70	0	0	4	15	0	0	0	0	0	0	0	0	0	0	571	2	0	0	16	731	0	0	0	51	912	18	0	0	0	51	10	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	77	0	0	0	107	596	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	388	0	0	0	24	0	0	0	1203884	2591	2994	321	326	170	12	0	0
W8-011111	 2015-01-17	2407	98	0	0	13	26	0	0	0	2	0	0	0	0	0	0	488	3	0	0	4	794	0	0	0	31	906	11	0	0	1	58	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	59	0	0	1	83	531	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	21	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	580	0	0	0	10	0	0	0	1202939	2977	2789	375	340	159	10	0	0
W8-208111	 2015-01-17	1814	99	0	0	31	35	0	0	0	1	0	0	0	0	0	0	363	3	0	0	6	1010	0	0	0	98	1603	44	0	0	3	230	33	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	93	0	0	0	184	923	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	30	0	0	0	1202887	1302	3453	579	492	251	5	0	0
