barcode ,unknown,row ,tiller_count,gs39_DAS,gs55_DAS,GS65_DAS,FlagLeafSenescence_DAS,disease_score1,disease_score2
W8-184112,,E6,11,128,133,140,124,3,4
W8-063111,,C3,11,125,132,138,143,2,2
W8-075112,,D5,10,104,110,129,147,2,2
W8-171112,,C6,11,111,119,129,147,3,2
W8-169111,,B1,8,123,132,138,150,3,3
W8-168111,,C1,11,123,132,150,150,1,2
W8-219111,,C1,8,113,218,150,150,0,0
W8-180111,,C1,10,120,132,113,150,4,4
W8-150111,,C1,15,?,?,129,150,1,1
W8-011111,Xi-19-1,D1,9,106,113,129,150,1,3
W8-059111,,G1,10,123,132,140,150,2,2
W8-012111,Zircon,G1,10,109,111,,150,0,0
W8-075111,,A2,10,104,113,129,150,1,1
W8-033111,,A2,10,109,113,129,150,2,2
W8-111111,,C2,10,104,113,154,150,1,1
W8-217111,,C2,10,123,130,136,150,3,2
W8-004111,Cadenza,E2,10,106,109,129,150,1,1
W8-032111,,B3,11,134,144,,150,1,1
W8-204111,,C3,11,125,137,143,150,2,1
W8-114111,,C3,11,106,118,126,150,1,1
W8-028111,,D3,11,127,137,143,150,2,1
W8-207111,,D3,11,120,130,136,150,0,0
W8-097111,,E3,10,134,111,126,150,0,0
W8-068111,,A4,10,128,154,131,150,0,1
W8-061111,,A4,11,123,154,136,150,1,2
W8-034111,,B4,11,123,131,140,150,2,2
W8-062112,,E4,11,120,124,133,150,2,3
W8-180112,,G4,10,123,136,145,150,3,4
W8-150112,,G4,10,125,133,140,150,2,2
W8-011112,Xi-19-1,A5,10,106,112,129,150,2,2
W8-208112,,C5,11,120,126,131,150,4,4
W8-059112,,D5,11,120,129,136,150,3,4
W8-033112,,D5,11,104,112,129,150,3,3
W8-133112,,E5,10,109,119,129,150,1,1
W8-111112,,F5,10,104,140,129,150,0,0
W8-047112,,F5,10,123,129,136,150,1,2
W8-065112,,G5,10,118,122,138,150,1,1
W8-126112,,D6,11,125,129,143,150,4,4
W8-010112,Soissons-1,E6,11,111,119,129,150,0,1
W8-078112,,E6,11,125,133,143,150,3,4
W8-032112,,E6,11,111,122,131,150,1,1
W8-114112,,G6,10,111,122,133,150,2,0
W8-082112,,B7,11,127,133,143,150,2,3
W8-097112,,B7,10,109,138,129,150,0,0
W8-192112,,C7,11,127,134,143,150,2,1
W8-068112,,D7,11,123,129,133,150,1,2
W8-061112,,E7,11,116,126,136,150,2,3
W8-022112,,F7,11,123,129,140,150,3,3
W8-062111,,A1,16,125,130,136,152,2,2
W8-005111,Claire-4,B1,15,120,125,136,152,0,1
W8-162111,,C2,10,123,130,136,152,1,2
W8-066111,,G2,11,?,125,136,152,1,1
W8-139111,,A4,10,109,117,136,152,2,2
W8-064111,,C4,11,116,119,126,152,1,1
W8-168112,,F4,10,125,136,145,152,1,1
W8-183112,,F5,11,127,140,150,152,1,3
W8-066112,,C6,11,116,122,131,152,2,2
W8-086112,,C7,11,125,129,136,152,2,2
W8-208111,,F1,16,123,127,136,153,2,3
W8-213111,,B1,8,125,137,143,154,2,3
W8-067111,,C1,21,123,132,143,154,1,1
W8-151111,,B2,11,116,123,129,154,3,3
W8-078111,,B3,11,120,130,136,154,2,3
W8-159111,,B4,10,127,136,143,154,3,3
W8-053111,,B4,11,127,136,145,154,4,4
W8-098111,,A1,10,125,132,158,158,1,1
W8-079111,,B1,33,125,132,138,158,2,2
W8-039111,,D1,15,123,132,138,158,2,2
W8-176111,,A2,11,123,132,138,158,1,1
W8-183111,,B2,11,120,130,136,158,3,3
W8-181111,,C2,11,123,132,140,158,2,2
W8-081111,,D2,11,120,127,136,158,1,1
W8-106111,,E2,10,109,118,126,158,1,2
W8-105111,,E2,11,120,125,138,158,2,1
W8-186111,,F2,10,123,132,136,158,1,1
W8-026111,,A3,11,125,137,143,158,1,1
W8-167111,,B3,11,123,130,140,158,2,1
W8-215111,,C3,11,120,127,133,158,2,1
W8-152111,,B4,10,123,136,143,158,4,4
W8-087111,,C4,11,125,133,143,158,2,2
W8-085112,,A5,11,130,143,145,158,0,0
W8-012112,Zircon,D5,11,104,140,124,158,0,0
W8-004112,Cadenza,A6,10,104,108,129,158,1,1
W8-153112,,B6,11,127,136,150,158,2,2
W8-182112,,C6,11,123,129,136,158,3,0
W8-167112,,E6,10,123,131,143,158,1,2
W8-189112,,B7,11,127,136,145,158,2,2
W8-092112,,B7,11,120,129,136,158,2,2
W8-152112,,E7,11,127,138,150,158,4,4
W8-034112,,E7,11,125,133,143,158,2,2
W8-159112,,F7,10,130,143,152,158,2,2
W8-202112,,G7,10,109,117,129,158,1,1
W8-027112,,G7,11,125,133,143,158,4,4
W8-069111,,A1,14,130,139,147,160,3,3
W8-058111,,B1,20,127,134,143,160,2,2
W8-007111,KWS Santiago,B1,21,125,134,143,160,1,1
W8-194111,,D1,7,125,134,143,160,0,1
W8-073111,,A2,11,125,132,138,160,2,2
W8-052111,,D2,11,127,139,143,160,1,1
W8-089111,,D2,11,130,134,143,160,2,2
W8-060111,,E2,11,125,134,143,160,2,2
W8-153111,,E2,11,125,137,147,160,2,2
W8-123111,,G2,10,130,141,150,160,2,2
W8-126111,,A3,11,120,130,136,160,3,4
W8-184111,,A3,11,125,132,140,160,2,2
W8-051111,,A3,11,123,132,143,160,0,0
W8-010111,Soissons-1,A3,11,113,120,,160,1,1
W8-127111,,B3,10,116,120,129,160,1,1
W8-018111,,C3,10,125,130,143,160,2,2
W8-031111,,D3,11,127,134,143,160,3,3
W8-077111,,E3,11,125,132,140,160,1,2
W8-094111,,F3,10,127,138,147,160,2,3
W8-192111,,G3,11,130,143,154,160,1,2
W8-220111,,B4,11,116,117,129,160,2,0
W8-143111,,B4,11,123,131,138,160,2,3
W8-022111,,C4,11,123,129,138,160,3,3
W8-202111,,D4,11,109,117,126,160,1,1
W8-027111,,D4,11,125,133,143,160,3,4
W8-098112,,D4,11,130,126,138,160,2,2
W8-169112,,E4,10,123,133,143,160,3,3
W8-213112,,E4,11,127,136,145,160,3,3
W8-170112,,E4,10,130,140,145,160,2,2
W8-219112,,F4,10,120,124,131,160,1,1
W8-043112,,B5,10,125,136,143,160,2,1
W8-109112,,E5,10,125,129,140,160,4,4
W8-151112,,E5,11,127,143,150,160,4,4
W8-105112,,B6,10,113,119,129,160,3,2
W8-123112,,C6,11,127,133,143,160,2,3
W8-177112,,D6,11,123,131,138,160,2,3
W8-018112,,F6,11,125,136,147,160,1,2
W8-002112,Avalon,F6,11,125,136,147,160,2,2
W8-115112,,C7,11,130,138,152,160,2,1
W8-049112,,C7,11,120,129,136,160,2,2
