phenology,time
GS6, 2015-01-17
GS7, 2015-01-18
GS8, 2015-01-23
GS9, 2015-01-24
GS10, 2015-01-25
GS11, 2015-01-26
GS12, 2015-01-27
GS13, 2015-01-28
GS14, 2015-01-29
GS15, 2015-01-31
GS16, 2015-02-01
GS17, 2015-02-02
GS18, 2015-02-03
GS19, 2015-02-04
GS20, 2015-02-05
GS21, 2015-02-06
GS22, 2015-02-07
GS23, 2015-02-08
GS24, 2015-02-09
GS25, 2015-02-10
GS26, 2015-02-11
GS27, 2015-02-12
GS28, 2015-02-13
GS29, 2015-02-14
GS30, 2015-02-15
GS31, 2015-02-16
GS32, 2015-02-17
GS33, 2015-02-18
GS34, 2015-02-19
GS35, 2015-02-20
GS36, 2015-02-21
GS37, 2015-02-22
GS38, 2015-02-23
GS39, 2015-02-24
GS40, 2015-02-28
GS41, 2015-03-01
GS42, 2015-03-02
GS43, 2015-03-03
GS44, 2015-03-04
GS45, 2015-03-05
GS46, 2015-03-06
GS47, 2015-03-07
GS48, 2015-03-08
GS55, 2015-03-09
GS56, 2015-03-10
GS57, 2015-03-11
GS58, 2015-03-12
GS59, 2015-03-13
GS60, 2015-03-14
GS61, 2015-03-15
GS62, 2015-03-16
GS63, 2015-03-17
GS64, 2015-03-18
GS65, 2015-03-19
GS66, 2015-03-20
GS67, 2015-03-21
GS68, 2015-03-24
GS69, 2015-03-25
GS70, 2015-03-26
GS71, 2015-03-27
GS72, 2015-03-28
GS73, 2015-03-29
GS74, 2015-03-31
GS75, 2015-04-01
GS76, 2015-04-02
GS77, 2015-04-03
GS78, 2015-04-04
GS79, 2015-04-05
GS80, 2015-04-06
GS81, 2015-04-07
GS82, 2015-04-09
FLS, 2015-04-10
GS90, 2015-04-11
