barcode ,,row ,tiller count,gs39,   gs55,GS65,flag leaf senescence,plant wt,stem ht,top internodeL,tiller no,1? earLength,2nd ear L,3rd ear L,1?fg lf L,1?ear wt,other ear wt,disease_score1,disease_score2
W8-001111,Alchemy-1A,C4,>,123,129,140,171,78,48.5,28,20,10,11,10.5,33.5,4.01,47.0,3,3
W8-001112,Alchemy-1A,G7,>,125,129,143,171,75,45,29,19,11,11,10.5,44.5,4.02,44.8,1,1
W8-002111,Avalon,C3,<,123,130,143,*** base rot ,23,35,17,10,11,10,12,39,0.89,7.5,1,1
W8-002112,Avalon,F6,>,125,136,147,160,76,51.5,32,18,10.5,11,10.5,45,4.10,42.5,2,2
W8-003111,Brompton-1A,C1,22,130,137,150,180,77,50.5,22.5,20,12,11,10.5,22,4.48,40.1,1,1
W8-003112,Brompton-1A,G4,>,132,143,150,182,72,48,21.5,22,11.5,10.5,10,27,3.98,35.0,2,2
W8-004111,Cadenza,E2,<,106,109,129,150,79,65.5,34,17,10,11.5,12,30.5,4.33,47.1,1,1
W8-004112,Cadenza,A6,<,104,108,129,158,83,60,29.5,21,8.5,10.5,10,26,3.29,48.8,1,1
W8-005111,Claire-4,B1,15,120,125,136,152,81,37.5,24,24,10.5,11,10.5,40.5,2.59,45.4,0,1
W8-005112,Claire-4,F4,<,120,126,,166,71,45.5,27.5,23,11.5,11.5,11,41.5,3.80,36.4,1,0
W8-006111,Hereward-1A,C4,>,130,138,,182,64,49,26.5,20,11,11,10.5,26,3.18,33.0,3,2
W8-006112,Hereward-1A,G7,>,132,143,180,182,54,51.5,28,20,11,10,10.5,29,3.18,25.1,3,2
W8-007111,KWS Santiago,B1,21,125,134,143,160,83,52,29.5,23,12.5,12,11.5,32.5,4.68,47.9,1,1
W8-007112,KWS Santiago,F4,>,132,143,150,182,67,57,28,20,12,11,12,26,4.02,35.5,1,1
W8-008111,Rialto-4,D1,12,130,139,152,178,86,69,28,16,12.5,13,12.5,25,4.85,44.0,1,1
W8-008112,Rialto-4,A5,>,130,140,,182,92,60,26,25,11,11.5,11,23,3.45,32.4,0,0
W8-009111,Robigus-1,B3,<,125,137,143,166,59,45.5,27.5,20,10.5,10,10,36.5,3.51,30.8,1,1
W8-009112,Robigus-1,E6,>,125,140,150,175,62,37,27.5,33,7.5,8,8.5,32,1.21,33.6,1,2
W8-010111,Soissons-1,A3,>,113,120,,160,69,51.5,21.5,20,8.5,9,8.5,25,3.42,42.9,1,1
W8-010112,Soissons-1,E6,>,111,119,129,150,72,50,24.5,20,9.5,10,9.5,31,3.81,44.7,0,1
W8-011111,Xi-19-1,D1,9,106,113,129,150,78,52.5,30.5,19,12,12.5,11,31.5,5.43,46.8,1,3
W8-011112,Xi-19-1,A5,<,106,112,129,150,63,49,27.5,19,11.5,12,11.5,31.5,4.02,36.2,2,2
W8-012111,Zircon,G1,10,109,111,,150,85,53.5,28.5,22,10,10,10.5,30,3.63,50.3,0,0
W8-012112,Zircon,D5,>,104,124,140,158,90,56.5,32,26,8,10,10,27,3.02,55.0,0,0
W8-013111,MEL 001-1a,E3,>,123,134,140,171,100,66,32.5,21,11,11.5,11.5,31.5,4.36,56.1,2,3
W8-013112,MEL 001-1a,A7,>,125,133,140,171,106,71,29,19,12,11,12,30,4.97,54.4,3,3
W8-014111,MEL 002-1,F2,>,134,148,194,196,71,47,25,24,11.5,9.5,9.5,28,3.19,35.8,1,0
W8-014112,MEL 002-1,B6,>,132,143,154,180,70,45,25,23,11.5,10.5,10.5,26.5,3.27,36.8,1,1
W8-015111,MEL 003-1a,A4,<,123,131,136,166,54,40.5,17.5,13,10.5,10,9.5,30,4.33,31.8,3,3
W8-015112,MEL 003-1a,D7,<,125,131,138,166,66,44,17.5,14,10.5,9.5,10,26,5.21,39.8,4,3
W8-016111,MEL 004-1,E3,>,125,134,143,171,108,63.5,27,21,13.5,13,12.5,27,4.72,53.9,1,0
W8-016112,MEL 004-1,A7,>,127,136,143,175,100,69,27,17,13,11.5,11.5,31,5.10,48.7,1,0
W8-017111,MEL 005-1,B2,>,143,155,171,,41,24,16.5,35,14,13.5,13,26.5,2.96,13.8,1,1
W8-017112,MEL 005-1,F5,>,148,160,175,,42,27.5,18.5,28,13,13,13,26,2.75,16.6,1,1
W8-018111,MEL 006-1,C3,<,125,130,143,160,77,48,26.5,16,12,12.5,12,34.5,4.39,41.6,2,2
W8-018112,MEL 006-1,F6,>,125,136,147,160,73,58.5,27,18,12,12,12,33,4.56,39.0,1,2
W8-019111,MEL 007-1a,E1,22,130,139,150,178,80,50,26.5,19,12.5,12,11,25,3.99,43.5,1,1
W8-019112,MEL 007-1a,A5,>,132,140,145,185,72,43.5,26.5,19,12,11.5,11.5,31,3.24,36.4,0,0
W8-020111,MEL 008-1,D3,>,125,134,145,171,82,49,27,14,14,13.5,13.5,35,6.27,42.9,2,2
W8-020112,MEL 008-1,A7,>,130,136,175,178,76,48.5,27.5,15,14,14,13.5,34.5,5.07,39.9,1,0
W8-021111,MEL 009a-1,F2,>,134,144,150,182,92,51,23.5,21,14.5,13,14,29.5,3.91,45.3,1,2
W8-021112,MEL 009a-1,B6,<,132,143,145,182,71,51.5,27.5,14,14,13,13.5,33.5,5.45,31.6,1,0
W8-022111,MEL 010-1a,C4,>,123,129,138,160,92,62,35.5,18,13,12.5,12,39.5,4.64,47.0,3,3
W8-022112,MEL 010-1a,F7,>,123,129,140,150,89,60,36,18,12,12,11.5,43.5,4.17,45.0,3,3
W8-023111,MEL 011-1a,A2,>,137,144,152,182,68,51,27,22,13.5,13,12.5,27.5,3.12,29.7,2,2
W8-023112,MEL 011-1a,E5,>,132,143,152,175,86,51.5,26.5,20,14,13,13.5,28.5,3.99,39.6,2,2
W8-024111,MEL 012-1b,G1,17,130,141,150,166,84,51,27.5,22,12,10,11,34,2.74,33.6,1,2
W8-024112,MEL 012-1b,C5,>,132,143,152,178,82,46.5,24,23,12.5,11.5,11.5,24.5,3.06,31.3,2,2
W8-025111,MEL 013-1a,D2,>,127,137,143,175,63,38,23,18,12,11.5,12,32,3.84,36.1,1,1
W8-025112,MEL 013-1a,A6,>,132,140,150,193,56,39.5,23,19,11.5,11,12,29,3.62,29.0,1,1
W8-026111,MEL 014-2,A3,>,125,137,143,158,96,70.5,37.5,23,11.5,10.5,10,45.5,3.46,45.5,1,1
W8-026112,MEL 014-2,D6,>,130,140,147,166,110,75.5,33.5,26,13,12.5,12.5,33,4.52,52.0,1,1
W8-027111,MEL 015-2,D4,>,125,133,143,160,103,80,41,22,11,11,10.5,36,4.60,52.3,3,4
W8-027112,MEL 015-2,G7,>,125,133,143,158,107,83.5,44,21,11.5,11,10,37.5,4.41,50.4,4,4
W8-028111,MEL 016-1,D3,>,127,137,143,150,68,48,28,23,10.5,10.5,10,35.5,1.83,35.4,2,1
W8-028112,MEL 016-1,G6,>,130,140,152,175,84,52.5,29.5,20,10.5,10,10,38.5,3.12,39.6,1,1
W8-029111,MEL 017-2,A1,9,144,159,180,,46,40.5,28,26,13,13.5,13,28,2.84,18.7,0,0
W8-029112,MEL 017-2,D4,<,127,136,145,182,65,53.5,30.5,23,15,13.5,14,28.5,4.51,35.9,1,1
W8-030111,MEL 018-1,A1,29,127,142,178,178,99,64,28,22,11,9,9.5,24.5,4.04,48.8,1,1
W8-030112,MEL 018-1,D4,>,130,140,150,175,106,63,28,21,11,10,10.5,26,4.43,50.2,1,1
