Array Design Name	DIASMGB-Wheat-WheatUG-9K-v2
Version	version 2
Provider	Per Gregersen (per.gregersen@agrsci.dk)
Comment[ArrayExpressAccession]	A-MEXP-556
Comment[SubmittedName]	DIASMGB-Wheat-WheatUG-9K-v2
Comment[Organism]	Triticum aestivum
Printing Protocol	A 9K wheat unigene set was kindly made available by Keith Edwards, Bristol University (www.cerealsdb.uk.net). This set of clones originates in 35 cDNA libraries prepared from a range of different tissues of the wheat plant but predominantly from tissues of the developing grain. Plasmid DNA mini-preparations were made from all clones using Millipore 96-well plates (MANNLY50, MAFBNOB50, Millipore) according to the manufacturer?s recommendations. The cDNA inserts were PCR amplified from 0.5-1 ?l DNA mini-preparation using the T3 and T7 flanking primers (30pmol) of the pBluescript cloning vector and Taq polymerase (0.8 U) (EP0402, Fermentas, LT) in 100?l reaction buffer (10 mM Tris, pH 8.8; 50 mM KCl; 0.08% Nonidet P40; 0.5 mM MgCl2; 0.3 mM (each) dNTP). The PCR reactions were performed in a MJResearch Cycler (MJResearch) and the cycling conditions were 5 min at 96?C, followed by 45 cycles of 30 sec at 96?C, 2 min at 58?C, 2 min at 72?C, and a final extension of 10 min at 72?C. PCR products were precipitated with 2.5 vol 96% ethanol and 1/10 vol 3 M NaAcetate, pH 6.0, left at least 2 h at ?20?C, and centrifuged 1 h, 4?C, 2600 rcf. The air-dried pellet was dissolved in 20 ?l of water. One ?l of each sample was run in a 1% agarose gel containing SYBR Green. The quality of the PCR products were visually inspected and abnormal or missing products were recorded. Five ?l (100-500 ?g) of each sample was vacuum-dried and re-dissolved in 5 ?l of 1 x QMT spotting buffer (S201100, Quantifoil, D). The samples were spotted onto QMT amino slides (S122025, Quantifoil, D) using a Chipwriter microarrayspotter (Eurogentec, B) with 24 Stealth MP3 pins (Telechem Int., US). Following spotting, the slides were UV cross-linked  at 250 mJ ( Stratalinker, Stratagene) and kept dry and in the dark at room temperature until hybridisation.
Technology Type	spotted_ds_DNA_features
Technology Type Term Accession Number	#spotted_ds_DNA_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	aminosilane
Surface Type Term Accession Number	#aminosilane
Surface Type Term Source REF	mo
Substrate Type	glass
Substrate Type Term Accession Number	#glass
Substrate Type Term Source REF	mo
Term Source Name	The MGED Ontology	mo	embl	tigr_tagi
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.ebi.ac.uk/embl/	http://www.tigr.org/tigr-scripts/tgi/T_index.cgi?species=wheat
Term Source Version			
Comment[AdditionalFile:txt]	A-MEXP-556_comments.txt

[main]
Block Column	Block Row	Column	Row	Reporter Name	Reporter Database Entry[embl]	Reporter Database Entry[tigr_tagi]	Reporter Group[role]	Control Type
3	1	9	1	WheatUG-1_GS0075_G9			Control	control_buffer
5	1	7	1	WheatUG-1_Control_E20			Control	control_buffer
6	1	7	1	WheatUG-1_Control_E19			Control	control_buffer
6	1	8	1	WheatUG-1_Control_I3			Control	control_biosequence
7	1	7	1	WheatUG-1_Control_E18			Control	control_buffer
8	1	7	1	WheatUG-1_Control_E17			Control	control_buffer
5	1	7	2	WheatUG-1_Control_I20			Control	control_buffer
6	1	7	2	WheatUG-1_Control_I19			Control	control_buffer
6	1	11	2	WheatUG-1_GS0041_E4			Control	control_buffer
7	1	7	2	WheatUG-1_Control_I18			Control	control_buffer
8	1	7	2	WheatUG-1_Control_I17			Control	control_buffer
10	1	12	2	WheatUG-1_GS0005_G4			Control	control_buffer
11	1	13	2	WheatUG-1_GS0003_A9			Control	control_buffer
5	1	7	3	WheatUG-1_Control_M20			Control	control_buffer
6	1	7	3	WheatUG-1_Control_M19			Control	control_buffer
7	1	7	3	WheatUG-1_Control_M18			Control	control_buffer
8	1	7	3	WheatUG-1_Control_M17			Control	control_buffer
1	1	11	4	WheatUG-1_GS0071_A10			Control	control_buffer
3	1	2	4	WheatUG-1_GS0095_G3			Control	control_buffer
3	1	4	4	WheatUG-1_GS0091_C1			Control	control_buffer
5	1	7	4	WheatUG-1_Control_A24			Control	control_buffer
6	1	7	4	WheatUG-1_Control_A23			Control	control_buffer
7	1	7	4	WheatUG-1_Control_A22			Control	control_buffer
8	1	7	4	WheatUG-1_Control_A21			Control	control_buffer
11	1	9	4	WheatUG-1_GS0015_E3			Control	control_buffer
11	1	13	4	WheatUG-1_GS0003_E9			Control	control_buffer
1	1	9	5	WheatUG-1_GS0075_G12			Control	control_buffer
5	1	7	5	WheatUG-1_Control_E24			Control	control_buffer
6	1	7	5	WheatUG-1_Control_E23			Control	control_buffer
7	1	7	5	WheatUG-1_Control_E22			Control	control_buffer
8	1	7	5	WheatUG-1_Control_E21			Control	control_buffer
1	1	1	6	empty			Control	control_empty
2	1	1	6	empty			Control	control_empty
3	1	1	6	empty			Control	control_empty
4	1	1	6	empty			Control	control_empty
5	1	1	6	empty			Control	control_empty
6	1	1	6	empty			Control	control_empty
7	1	1	6	empty			Control	control_empty
8	1	1	6	empty			Control	control_empty
9	1	1	6	empty			Control	control_empty
10	1	1	6	empty			Control	control_empty
11	1	1	6	empty			Control	control_empty
12	1	1	6	empty			Control	control_empty
1	1	1	7	empty			Control	control_empty
2	1	1	7	empty			Control	control_empty
3	1	1	7	empty			Control	control_empty
4	1	1	7	empty			Control	control_empty
5	1	1	7	empty			Control	control_empty
6	1	1	7	empty			Control	control_empty
7	1	1	7	empty			Control	control_empty
8	1	1	7	empty			Control	control_empty
9	1	1	7	empty			Control	control_empty
